SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9 Heather Ave,San Francisco,CA,94118,2495000,4,3,Jordan Park/Laurel Heights,2556,3498,1950,4,976,,Active,,,http://www.redfin.com/CA/San-Francisco/9-Heather-Ave-94118/home/1172292,San Francisco MLS,458281,N,Y,37.7854829,-122.4531188
MLS Listing,,Single Family Residential,11 Edwards Ave,Sausalito,CA,94965,2495000,3,3.5,Sausalito,2705,3520,1999,20,922,,Active,,,http://www.redfin.com/CA/Sausalito/11-Edwards-Ave-94965/home/1386647,BAREIS,21709128,N,Y,37.845911,-122.478375
MLS Listing,,Single Family Residential,158-160 Missouri St,San Francisco,CA,94107,2495000,3,3.5,Potrero Hill,2800,2495,1907,115,891,,Active,,,http://www.redfin.com/CA/San-Francisco/160-Missouri-St-94107/home/1670837,San Francisco MLS,454068,N,Y,37.7643072,-122.3968332
MLS Listing,,Single Family Residential,41 Martha Ave,San Francisco,CA,94131,2495000,3,3.5,Glen Park,2814,2535,1998,25,887,,Active,,,http://www.redfin.com/CA/San-Francisco/41-Martha-Ave-94131/home/1380162,San Francisco MLS,457291,N,Y,37.733992,-122.440183
MLS Listing,,Single Family Residential,1694 York St,San Francisco,CA,94110,2495000,4,3.5,Bernal Heights,2828,2172,1903,38,882,,Active,,,http://www.redfin.com/CA/San-Francisco/1694-York-St-94110/home/1774921,San Francisco MLS,456858,N,Y,37.746402,-122.405512
MLS Listing,,Condo/Co-op,301 Mission St Unit 33E,San Francisco,CA,94105,2500000,2,2,Yerba Buena,1714,,2009,73,1459,1900,Active,,,http://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-33E/home/40142537,San Francisco MLS,455565,N,Y,37.790387,-122.3961664
MLS Listing,,Condo/Co-op,1200 California St Unit 18DMR,San Francisco,CA,94109,2574000,2,3,Nob Hill,2060,,1962,11,1250,2869,Active,,,http://www.redfin.com/CA/San-Francisco/1200-California-St-94109/unit-18DMR/home/113900204,San Francisco MLS,458017,N,Y,37.7916559,-122.4145259
MLS Listing,,Townhouse,3590 20th St #504,San Francisco,CA,94110,2575000,3,2.5,Inner Mission,1811,,2015,66,1422,623,Active,,,http://www.redfin.com/CA/San-Francisco/3590-20th-St-94110/unit-504/home/82451629,San Francisco MLS,455818,N,Y,37.7585102,-122.4211932
MLS Listing,,Condo/Co-op,1915 Stockton St,San Francisco,CA,94133,2595000,3,2,Telegraph Hill,1515,,1906,56,1713,,Active,May-23-2017 09:30 AM,May-23-2017 11:00 AM,http://www.redfin.com/CA/San-Francisco/1915-Stockton-St-94133/home/113600953,San Francisco MLS,456022,N,Y,37.803497,-122.410067
MLS Listing,,Condo/Co-op,1917 Stockton St,San Francisco,CA,94133,2595000,3,3,Telegraph Hill,1928,,1906,56,1346,,Active,May-23-2017 09:30 AM,May-23-2017 11:00 AM,http://www.redfin.com/CA/San-Francisco/1917-Stockton-St-94133/home/1626103,San Francisco MLS,456023,N,Y,37.8035242,-122.4099824
MLS Listing,,Single Family Residential,559 Jersey St,San Francisco,CA,94114,2595000,3,2,Noe Valley,1935,2278,1900,10,1341,,Active,,,http://www.redfin.com/CA/San-Francisco/559-Jersey-St-94114/home/1480724,San Francisco MLS,457966,N,Y,37.750037,-122.437476
MLS Listing,,Condo/Co-op,1832 Lyon St,San Francisco,CA,94115,2595000,3,3,Pacific Heights,2810,,1900,25,923,,Active,,,http://www.redfin.com/CA/San-Francisco/1832-Lyon-St-94115/home/1244498,San Francisco MLS,457407,N,Y,37.7882766,-122.4453045
MLS Listing,,Condo/Co-op,1688 Pine St Unit EPH06,San Francisco,CA,94109,2675000,2,2.5,Van Ness/Civic Center,1485,,2016,116,1801,888,Active,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-EPH06/home/112978499,San Francisco MLS,454032,N,Y,37.7892328,-122.4235521
New Construction Plan,,Condo/Co-op,E-PH06,San Francisco,CA,94109,2675000,2,2.5,Rockwell,1485,,,,1801,,Active,,,http://www.redfin.com/CA/San-Francisco/Rockwell/E-PH06/home/113001177,NewHomeFeed,Plan-342793,N,Y,37.78945866,-122.4235623
New Construction Home,,Condo/Co-op,1688 Pine Street Eph06,San Francisco,CA,94109,2675000,2,2.5,Rockwell,1485,,2017,111,1801,,Active,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-Street-Eph06-94109/home/113001178,NewHomeFeed,573242,N,Y,37.789233,-122.4235506
MLS Listing,,Condo/Co-op,3973 Clay St,San Francisco,CA,94118,2695000,3,2.5,Presidio Heights,2160,,1911,35,1248,,Active,,,http://www.redfin.com/CA/San-Francisco/3973-Clay-St-94118/home/113729623,San Francisco MLS,456940,N,Y,37.7873907,-122.4586732
MLS Listing,,Condo/Co-op,1830 Lyon St,San Francisco,CA,94115,2695000,3,3,Pacific Heights,2390,,1900,25,1128,,Active,,,http://www.redfin.com/CA/San-Francisco/1830-Lyon-St-94115/home/113812695,San Francisco MLS,457116,N,Y,37.788275,-122.445263
MLS Listing,,Condo/Co-op,690 Market St #1904,San Francisco,CA,94104,2698000,3,3,Financial District,1960,,2007,276,1377,2952,Active,,,http://www.redfin.com/CA/San-Francisco/690-Market-St-94104/unit-1904/home/21967103,San Francisco MLS,449357,N,Y,37.7883046,-122.4032778
MLS Listing,,Condo/Co-op,425 1st St #6002,San Francisco,CA,94105,2795000,3,2,South Beach,1526,,2008,360,1832,939,Active,,,http://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-6002/home/17304776,San Francisco MLS,446167,N,Y,37.7861411,-122.392459
MLS Listing,,Condo/Co-op,690 Market St #702,San Francisco,CA,94114,2795000,3,3,Financial District,2460,,2016,19,1136,3129,Active,,,http://www.redfin.com/CA/San-Francisco/690-Market-St-94104/unit-702/home/21967158,San Francisco MLS,457641,N,Y,37.7883046,-122.4032778
MLS Listing,,Condo/Co-op,2821 Buchanan Unit 3 & 4,San Francisco,CA,94123,2798000,3,2,Pacific Heights,2185,,1904,9,1281,519,Active,,,http://www.redfin.com/CA/San-Francisco/2821-Buchanan-St-94123/unit-3-4/home/113810478,San Francisco MLS,458103,N,Y,37.796411,-122.432277
MLS Listing,,Single Family Residential,3751 21st St,San Francisco,CA,94114,2799000,3,1,Eureka Valley/Dolore,1120,2848,1910,68,2499,,Active,,,http://www.redfin.com/CA/San-Francisco/3751-21st-St-94114/home/1694880,San Francisco MLS,455739,N,Y,37.756045,-122.431241
